Close Price	Volume
8.44	35592715
8.41	23949446
8.39	19587403
8.34	27863390
8.42	21423991
8.36	24041426
8.24	29635117
8.06	42721647
8.07	36751604
8.08	26729156
8.07	31402650
8.25	38601928
8.17	23610352
8.29	35033959
8.17	28559746
8.07	44567052
8	28389493
8.03	22427720
7.97	86853151
7.93	49898961
7.91	38928402
8.67	217811745
8.4	107323191
8.32	44405808
8.37	98033153
8.25	44078816
8.01	66637987
8.01	122345530
7.68	57530764
7.84	44179494
7.91	29056148
7.96	60198869
7.89	46556573
7.9	117924606
8	79912393
7.96	142659928
7.81	94678336
7.87	319195454
7.79	93915147
7.45	199529324
7.25	61522782
7.46	116997698
7.33	99021484
7.31	327842534
7.22	222550016
7.29	749964922
7.32	115347034
7.42	801207011
7.26	31594336
7.09	39751750
7.08	43511726
6.77	36086356
6.41	37387655
6.79	39300506
7.07	22286393
6.7	31343712
6.82	18996062
6.89	30314090
8.26	201931490
7.94	54866042
7.92	32214357
7.87	24215018
7.88	23686456
7.86	24491360
7.69	19849633
7.75	13497500
7.49	29777582
7.23	39454082
7.08	37868637
7.02	20401658
7.02	32006858
6.68	39536539
6.75	34932871
6.68	31624943
6.83	17672166
6.9	29680040
6.95	19334873
6.9	22823276
6.95	23445110
6.93	21803237
6.87	18049724
6.77	21007845
6.59	27978909
6.57	24628303
6.41	29199131
6.44	32387607
6.39	25535667
6.33	20894911
6.32	18210397
6.54	38380066
6.43	26092524
6.27	36103055
6.04	40522870
5.91	39460562
5.88	51190497
5.82	42284807
6.15	34781544
6.24	28481360
6.26	20867315
6.15	13574085
6.11	16015212
6.18	20469193
6.09	17388000
6.08	12881241
6.06	15153425
6.08	24225543
6.06	15213256
6.48	73877211
6.37	30396910
6.33	19879400
6.54	50525665
6.89	73671335
6.95	21414129
6.88	35408666
6.93	16546019
7.01	32321047
6.92	17224091
6.92	10828480
6.83	15943411
6.76	27084399
7.12	70912967
7.02	18616239
7.09	22741092
7.35	48063208
7.07	27835857
7.02	18860258
7.03	18143616
7.02	14877823
6.98	14672829
6.96	20090827
6.99	33113520
7.07	19890116
7.13	41692317
7.11	22766736
7.17	19552569
7.17	10013943
7.16	9322616
7.13	15414257
7.08	9459676
7.68	68170325
7.37	36638240
7.31	29388413
7.5	20515284
7.71	38608184
7.92	83486433
7.82	29617164
7.79	23799744
7.64	21391436
7.41	28458326
7.75	45762999
7.46	38507055
7.47	26783955
7.62	33603688
7.53	32233838
7.46	36272156
7.43	23321466
7.53	23358385
7.46	20086408
7.42	19657187
7.48	18017280
7.45	14441770
7.39	17547229
7.38	11827613
7.36	16392801
7.25	23349718
7.32	15445692
7.63	39982469
7.63	54040166
7.69	45116158
7.57	29957459
7.86	64936579
7.92	71746871
7.92	56392413
8.72	143839193
8.47	63401976
8.33	28275792
8.34	33254015
8.27	25670918
7.92	46265578
7.87	27747240
8.25	58296714
8.37	47602161
8.28	64680123
8.2	26308951
8.07	38534308
8.11	21876269
8.04	24136431
7.82	26968088
7.74	35991857
7.62	19448499
7.56	22923354
7.71	58247028
7.82	19446340
7.95	23660185
8.69	139594686
8.99	100698238
8.92	86413973
9.08	72784414
9.05	52544872
10.03	183926798
9.99	80701920
9.9	39324747
10.65	131397481
10.48	79453041
10.48	82088500
11.27	121197366
10.52	97839777
10.98	56098478
10.9	21138750
11.73	178222771
10.93	102145156
11	37496800
10.86	39209930
11.31	74746564
11.32	41726890
12.11	127612364
12.01	68689146
11.65	56086229
11.67	39404699
11.99	64675829
11.49	38017706
11.22	45748071
10.94	26513792
10.9	51292215
11.07	29487346
11.88	111662750
11.89	57882497
12.01	44115113
11.82	41381263
11.94	45137074
11.69	38515952
11.99	49868876
11.76	30615828
10.95	43834963
10.86	48043117
10.73	44075284
10.88	42869372
11.65	70769570
11.89	79625822
12.78	263960432
13.75	140874620
13.74	138107037
13.54	33205581
13.87	38202549
13.64	33412283
13.91	40258480
13.73	53981594
13.95	26932448
14.07	36640053
14.4	66537940
14.55	56240162
14.16	71255078
13.85	54727898
13.49	45063375
13.6	27416158
13.35	25033494
13.28	35688694
13.24	29868737
13.06	72663317
13.27	31168083
13.15	76147134
13.06	50323620
12.84	32723551
13.22	47071666
12.88	49028096
13.14	36795184
13.13	33383125
13.18	53776699
13.94	72630603
14.04	52993207
14.09	61954336
14.01	43323366
13.09	80415079
13.66	48834423
13.61	47382840
13.37	56581235
13.43	36657426
13.24	46921833
16.02	298985635
16.99	219276844
16.03	126742245
15.89	66534725
16.81	89264929
17.11	109689419
17.15	54305779
16.22	68193185
16.13	34839723
16.06	17957631
15.87	26823595
16.47	50461549
15.74	64239631
15.09	58668104
15.11	41528830
15.08	46647079
14.39	50652278
14.94	50400245
14.61	59872461
14.7	37034056
14.49	48009206
14.36	31239566
14.15	37252528
14.04	46155944
13.72	31413786
14.24	61094061
14.98	87598206
14.82	55991914
15.52	89584746
14.47	62056544
14.71	43683341
15.56	96071529
15.95	82058908
15.91	67701404
