Ticker,Open_Price,High_Price,Low_Price,Close_Price,Previous_Close,Number_Of_Trades,Volume,Trade_Date
RELIANCE,2708,2795.65,2708,2775.7,2694.85,19918,240951,2022-04-26 00:00:00
RELIANCE,2759.7,2827.1,2757,2777.9,2775.7,33414,389360,2022-04-27 00:00:00
RELIANCE,2815,2850,2786.3,2819.2,2777.9,21873,264655,2022-04-28 00:00:00
RELIANCE,2855,2855,2777.55,2790.8,2819.2,15802,202927,2022-04-29 00:00:00
RELIANCE,2755.5,2805,2755.5,2780.55,2790.8,21118,244590,2022-05-02 00:00:00
RELIANCE,2785,2785.15,2675.8,2693.15,2780.55,25838,3251053,2022-05-04 00:00:00
RELIANCE,2721,2729.65,2632,2640.75,2693.15,24796,355466,2022-05-05 00:00:00
RELIANCE,2640.75,2659.55,2594.6,2621.15,2640.75,21561,249708,2022-05-06 00:00:00
RELIANCE,2575,2597.2,2507.1,2517.15,2621.15,40031,394528,2022-05-09 00:00:00
RELIANCE,2499,2525.25,2459,2473.25,2517.15,18058,228368,2022-05-10 00:00:00
RELIANCE,2478.7,2485.05,2421.9,2449.75,2473.25,20980,269992,2022-05-11 00:00:00
RELIANCE,2419,2440,2370,2400.95,2449.75,39075,375949,2022-05-12 00:00:00
RELIANCE,2432,2478,2416.05,2428.05,2400.95,25989,290185,2022-05-13 00:00:00
RELIANCE,2432,2480.75,2416.45,2427.4,2428.05,21011,207222,2022-05-16 00:00:00
RELIANCE,2443,2540.4,2435,2530.7,2427.4,31564,336675,2022-05-17 00:00:00
RELIANCE,2539,2570,2508.3,2538.8,2530.7,21897,276653,2022-05-18 00:00:00
RELIANCE,2470,2511,2466.45,2479.2,2538.8,25314,728658,2022-05-19 00:00:00
RELIANCE,2515,2643,2503,2622.15,2479.2,21461,277207,2022-05-20 00:00:00
RELIANCE,2630,2653.75,2592.95,2605.95,2622.15,18465,278346,2022-05-23 00:00:00
RELIANCE,2624,2637.8,2598,2616,2605.95,13473,147965,2022-05-24 00:00:00
RELIANCE,2632.35,2655.8,2601.85,2611.15,2616,20206,248030,2022-05-25 00:00:00
RELIANCE,2618,2633.9,2547.7,2587.45,2611.15,15579,183889,2022-05-26 00:00:00
RELIANCE,2596.95,2605.55,2539.35,2575.2,2587.45,16761,199303,2022-05-27 00:00:00
RELIANCE,2619.8,2673,2594.85,2663.75,2575.2,21125,263592,2022-05-30 00:00:00
RELIANCE,2646,2678.75,2615.85,2633.9,2663.75,19983,590084,2022-05-31 00:00:00
RELIANCE,2632.35,2654.95,2616.1,2632.2,2633.9,11931,147783,2022-06-01 00:00:00
RELIANCE,2645,2732,2635.65,2724.5,2632.2,20363,299786,2022-06-02 00:00:00
RELIANCE,2746.95,2816.35,2740,2779.5,2724.5,42914,636698,2022-06-03 00:00:00
RELIANCE,2780.6,2813.75,2751.55,2766.9,2779.5,18674,275733,2022-06-06 00:00:00
RELIANCE,2764,2791,2754,2772.5,2766.9,10501,154819,2022-06-07 00:00:00
RELIANCE,2775.2,2782.1,2715.6,2724.3,2772.5,11639,186942,2022-06-08 00:00:00
RELIANCE,2709,2802,2709,2798.6,2724.3,19174,298046,2022-06-09 00:00:00
RELIANCE,2774.35,2790.05,2701.6,2714,2798.6,20034,246751,2022-06-10 00:00:00
RELIANCE,2653.8,2673.3,2616.4,2662.8,2714,14888,187994,2022-06-13 00:00:00
RELIANCE,2653,2670.15,2613.85,2627.35,2662.8,12611,152984,2022-06-14 00:00:00
RELIANCE,2610,2637.4,2585.1,2596.3,2627.35,11651,163116,2022-06-15 00:00:00
RELIANCE,2622,2658.6,2554.95,2559.2,2596.3,21527,282255,2022-06-16 00:00:00
